date,open,high,low,close,volume
2020-05-28,276.269989,283.730011,276.070007,277.380005,1922200
2020-05-29,281.350006,289.440002,276.040009,287.959991,5392900
2020-06-01,285.420013,288.730011,283.820007,286.640015,1819400
2020-06-02,283.920013,286.179993,278.660004,284.269989,1600700
2020-06-03,283.720001,283.799988,274.059998,277.010010,1782900
2020-06-04,274.269989,279.290009,270.760010,272.820007,1603900
2020-06-05,270.820007,271.679993,262.549988,265.690002,2753400
2020-06-08,264.049988,265.839996,261.279999,265.010010,2088500
2020-06-09,267.279999,275.140015,265.089996,270.850006,2687900
2020-06-10,275.760010,277.899994,271.809998,274.339996,1600200
2020-06-11,275.559998,276.359985,263.670013,263.890015,1831000
2020-06-12,268.119995,271.390015,262.299988,268.559998,1530100
2020-06-15,264.769989,268.519989,262.239990,267.769989,1385400
2020-06-16,270.429993,275.690002,268.220001,273.769989,1557200
2020-06-17,273.880005,282.760010,273.769989,280.089996,1645100
2020-06-18,279.399994,282.220001,275.929993,279.190002,1371900
2020-06-19,280.299988,295.540009,280.299988,293.269989,4085300
2020-06-22,294.000000,295.000000,287.799988,293.200012,1592100
2020-06-23,294.059998,299.209991,293.309998,295.799988,1571800
2020-06-24,294.929993,297.709991,288.899994,291.179993,1622100
2020-06-25,292.380005,295.359985,288.829987,295.149994,1188700
2020-06-26,292.679993,293.000000,284.739990,286.140015,1895300
2020-06-29,286.950012,287.649994,280.890015,285.179993,1452500
2020-06-30,287.679993,292.369995,283.000000,290.309998,2171900
2020-07-01,290.500000,291.660004,283.790009,286.279999,1752400
2020-07-02,288.519989,293.950012,287.450012,291.100006,1101700
2020-07-06,294.359985,295.000000,289.630005,291.309998,1341900
2020-07-07,292.299988,306.079987,291.450012,299.059998,1624800
2020-07-08,300.049988,301.649994,292.130005,295.920013,1500300
2020-07-09,295.519989,297.790009,290.049988,295.399994,1106800
2020-07-10,293.950012,295.000000,290.859985,294.450012,911300
2020-07-13,293.049988,296.850006,283.850006,284.820007,1667300
2020-07-14,283.140015,294.720001,279.119995,293.829987,1738300
2020-07-15,292.760010,295.350006,290.200012,295.109985,1126900
2020-07-16,292.010010,293.329987,284.690002,290.559998,903300
2020-07-17,291.529999,294.670013,289.279999,294.529999,1072200
2020-07-20,292.690002,304.000000,292.690002,303.100006,1255800
2020-07-21,300.649994,301.140015,290.959991,291.399994,1515000
2020-07-22,293.559998,293.559998,286.459991,291.230011,846200
2020-07-23,291.329987,291.989990,283.320007,284.459991,1310200
2020-07-24,281.779999,282.640015,276.500000,278.489990,1837800
2020-07-27,280.839996,285.570007,277.679993,284.209991,1485100
2020-07-28,283.829987,284.589996,278.140015,278.519989,1098400
2020-07-29,280.279999,281.589996,278.089996,278.720001,1091200
2020-07-30,275.079987,282.279999,274.660004,279.399994,1538400
2020-07-31,278.880005,283.000000,268.250000,272.000000,2983400
2020-08-03,274.200012,280.589996,274.000000,279.519989,1716300
2020-08-04,279.230011,280.570007,274.029999,275.709991,1288400
2020-08-05,275.410004,275.750000,271.160004,273.230011,1329800
2020-08-06,269.299988,273.880005,268.579987,273.339996,1141900
2020-08-07,273.480011,277.200012,269.950012,272.989990,1006000
2020-08-10,271.579987,272.290009,265.089996,268.730011,1186700
2020-08-11,266.000000,267.989990,261.299988,261.859985,1370100
2020-08-12,263.079987,271.350006,262.869995,270.850006,1262600
2020-08-13,270.059998,272.730011,266.869995,267.149994,979200
2020-08-14,268.290009,269.950012,265.799988,267.290009,1008300
2020-08-17,267.899994,274.170013,267.839996,273.839996,985000
2020-08-18,275.000000,275.000000,269.260010,271.309998,887100
2020-08-19,270.850006,273.989990,269.529999,270.070007,996500
2020-08-20,270.670013,272.089996,268.600006,271.429993,1117700
2020-08-21,271.730011,273.109985,267.989990,271.279999,1064100
2020-08-24,269.899994,271.940002,263.470001,267.429993,1037300
2020-08-25,268.170013,273.320007,266.230011,272.350006,1316200
2020-08-26,272.859985,272.859985,268.820007,271.290009,857500
2020-08-27,272.950012,275.630005,269.720001,274.339996,961000
2020-08-28,272.940002,275.260010,268.100006,269.959991,813500
2020-08-31,270.350006,279.739990,270.000000,279.119995,1310900
2020-09-01,277.869995,279.959991,271.769989,275.489990,1252800
2020-09-02,275.640015,283.450012,273.720001,281.890015,1352400
2020-09-03,281.859985,281.859985,265.250000,267.420013,1619600
2020-09-04,267.839996,269.910004,263.010010,266.500000,1514800
2020-09-08,261.779999,264.839996,258.000000,258.609985,1264600
2020-09-09,261.109985,264.359985,259.040009,263.040009,1829100
2020-09-10,262.950012,263.579987,253.970001,255.649994,1231700
2020-09-11,257.839996,262.079987,255.770004,257.959991,1169700
2020-09-14,261.239990,268.399994,260.869995,264.799988,1200500
2020-09-15,266.769989,267.880005,264.239990,266.850006,1217100
2020-09-16,271.000000,273.549988,267.309998,267.549988,1387500
2020-09-17,258.980011,273.239990,258.820007,271.459991,1763600
2020-09-18,273.299988,273.589996,257.420013,265.390015,2179500
2020-09-21,264.140015,264.940002,259.269989,264.000000,1150500
2020-09-22,263.660004,268.000000,260.380005,267.579987,817500
2020-09-23,267.869995,270.079987,262.750000,263.820007,864300
2020-09-24,262.140015,263.899994,257.500000,263.130005,1422500
2020-09-25,264.100006,268.910004,260.519989,268.179993,1345800
2020-09-28,269.899994,270.579987,264.230011,267.730011,1103300
2020-09-29,267.820007,271.679993,266.380005,270.309998,891700
2020-09-30,271.329987,274.660004,269.459991,272.119995,1382800
2020-10-01,272.899994,275.399994,270.649994,273.510010,932500
2020-10-02,269.339996,272.790009,260.130005,260.799988,1339100
2020-10-05,262.859985,269.070007,261.700012,268.980011,1302900
2020-10-06,269.890015,270.500000,260.260010,260.980011,1022800
2020-10-07,263.179993,266.500000,262.100006,265.820007,764200
2020-10-08,267.160004,268.920013,264.910004,268.529999,777700
2020-10-09,268.869995,270.079987,266.239990,269.950012,877700
2020-10-12,273.140015,277.329987,269.579987,274.600006,1331200
2020-10-13,275.880005,280.989990,274.480011,276.089996,1087900
2020-10-14,275.190002,275.750000,269.790009,271.459991,1026800
2020-10-15,227.550003,232.460007,213.169998,215.279999,17493000
2020-10-16,217.789993,225.000000,217.190002,218.080002,5956100
2020-10-19,219.080002,225.970001,217.250000,220.509995,3789600
2020-10-20,222.000000,222.619995,214.479996,214.539993,2924300
2020-10-21,215.889999,217.929993,209.160004,211.380005,2775700
2020-10-22,210.369995,214.740005,208.229996,210.080002,2380500
2020-10-23,212.190002,213.509995,209.070007,211.580002,1715600
2020-10-26,209.750000,210.539993,204.850006,207.149994,2087500
2020-10-27,208.350006,213.580002,206.789993,212.190002,2756100
2020-10-28,212.000000,214.240005,208.250000,208.339996,2221200
2020-10-29,209.009995,210.380005,205.000000,207.009995,1930800
2020-10-30,205.929993,211.639999,203.509995,208.360001,2829400
2020-11-02,211.139999,211.449997,202.570007,207.419998,1877700
2020-11-03,208.919998,214.880005,208.000000,211.139999,1892000
2020-11-04,218.270004,223.770004,214.220001,215.089996,3778600
2020-11-05,220.080002,220.919998,216.220001,219.479996,2347200
2020-11-06,219.119995,221.720001,216.360001,220.279999,1707900
2020-11-09,224.410004,229.080002,221.500000,222.850006,2478300
2020-11-10,223.770004,224.740005,215.059998,215.350006,1917500
2020-11-11,217.119995,218.800003,213.649994,216.720001,1647200
2020-11-12,217.050003,221.320007,216.899994,218.309998,2143900
2020-11-13,222.279999,227.270004,219.639999,225.520004,1695100
2020-11-16,225.990005,227.360001,221.789993,224.270004,1706800
2020-11-17,222.720001,223.429993,218.229996,222.960007,1750500
2020-11-18,222.710007,223.770004,216.339996,216.350006,2500400
2020-11-19,216.419998,218.139999,211.399994,211.970001,2604100
2020-11-20,212.350006,217.229996,210.039993,215.210007,2239200
2020-11-23,216.779999,218.289993,214.139999,217.869995,1851000
2020-11-24,215.529999,219.470001,215.130005,216.500000,2179600
2020-11-25,217.869995,220.539993,215.839996,218.100006,2033300
2020-11-27,219.610001,226.720001,219.610001,226.710007,1052800
2020-11-30,231.000000,232.169998,224.300003,227.750000,4585300
2020-12-01,227.470001,230.559998,226.020004,230.300003,1762000
2020-12-02,230.300003,232.449997,226.320007,226.699997,1864200
2020-12-03,226.000000,229.050003,224.710007,226.869995,1291600
2020-12-04,227.300003,230.210007,225.589996,228.320007,948900
2020-12-07,231.000000,231.419998,225.119995,227.059998,1219700
2020-12-08,228.809998,230.199997,225.399994,229.830002,1329800
2020-12-09,230.000000,231.000000,221.309998,224.380005,1992100
2020-12-10,224.809998,224.889999,221.699997,224.039993,1462600
2020-12-11,224.100006,224.559998,220.929993,224.169998,1476000
2020-12-14,226.789993,233.470001,226.429993,228.130005,2220200
2020-12-15,229.699997,230.600006,226.000000,228.809998,1188800
2020-12-16,229.660004,232.750000,228.550003,232.110001,1708700
2020-12-17,233.000000,237.350006,232.320007,236.919998,1992800
2020-12-18,238.539993,239.710007,234.470001,236.720001,2929300
2020-12-21,233.020004,235.580002,228.800003,234.550003,1567200
2020-12-22,235.009995,235.800003,232.350006,234.899994,1127800
2020-12-23,235.399994,238.570007,234.080002,235.839996,1012900
2020-12-24,237.169998,237.500000,233.479996,234.460007,451700
2020-12-28,235.399994,236.479996,232.199997,232.470001,903200
2020-12-29,233.940002,236.559998,232.960007,233.490005,656600
2020-12-30,235.000000,237.009995,232.070007,232.679993,819100
2020-12-31,232.350006,237.500000,230.330002,236.339996,1161100
2021-01-04,237.910004,238.080002,226.270004,229.429993,2117700
2021-01-05,228.839996,229.919998,225.089996,228.580002,1730500
2021-01-06,225.100006,227.509995,222.309998,226.649994,2306700
2021-01-07,227.899994,233.970001,227.199997,232.899994,1503800
2021-01-08,233.860001,237.759995,233.009995,237.000000,1231200
2021-01-11,235.580002,236.470001,227.380005,234.639999,2263100
2021-01-12,234.800003,238.259995,228.740005,229.380005,1816900
2021-01-13,230.199997,231.059998,226.940002,227.100006,1809600
2021-01-14,228.220001,228.399994,224.699997,226.119995,1727800
2021-01-15,226.589996,227.600006,224.389999,225.550003,2241900
2021-01-19,227.000000,233.880005,223.309998,231.910004,2044800
2021-01-20,233.289993,239.360001,231.179993,236.699997,1608800
2021-01-21,237.059998,239.750000,232.779999,238.639999,1624000
2021-01-22,237.250000,241.830002,236.990005,237.589996,1258200
2021-01-25,240.990005,242.990005,239.050003,241.309998,1828600
2021-01-26,240.429993,241.979996,236.240005,237.639999,1629200
2021-01-27,234.000000,234.000000,224.699997,225.250000,2546200
2021-01-28,226.800003,234.960007,226.570007,230.039993,1593500
2021-01-29,229.449997,232.919998,227.559998,229.080002,2029500
2021-02-01,231.000000,232.380005,226.179993,231.770004,1927900
2021-02-02,225.800003,227.899994,216.139999,217.330002,6292900
2021-02-03,218.419998,219.089996,210.990005,211.000000,3830200
2021-02-04,213.350006,214.789993,211.649994,213.710007,2908100
2021-02-05,214.500000,217.550003,212.259995,215.259995,2740500
2021-02-08,217.130005,218.220001,213.539993,214.369995,2141500
2021-02-09,214.449997,215.589996,212.570007,213.820007,1624900
2021-02-10,215.979996,216.300003,212.020004,212.529999,1863000
2021-02-11,212.479996,212.889999,209.720001,210.500000,1893700
2021-02-12,210.820007,214.360001,210.220001,213.979996,1798200
2021-02-16,213.800003,214.410004,208.610001,210.270004,2509700
2021-02-17,209.580002,215.000000,208.500000,214.850006,2086700
2021-02-18,213.559998,213.759995,209.580002,209.830002,2126400
2021-02-19,210.000000,211.729996,206.789993,207.020004,2231200
2021-02-22,206.720001,216.220001,204.619995,214.960007,3671900
2021-02-23,215.199997,217.690002,211.669998,216.440002,2600900
2021-02-24,215.820007,220.419998,214.720001,217.039993,1775800
2021-02-25,215.800003,217.399994,210.500000,212.979996,1830600
2021-02-26,214.669998,215.500000,209.339996,212.550003,3083300
2021-03-01,212.679993,213.690002,209.380005,210.380005,1845000
2021-03-02,211.809998,214.130005,211.449997,212.059998,2491300
2021-03-03,212.000000,213.279999,208.059998,208.440002,2478400
2021-03-04,207.300003,213.100006,205.850006,207.789993,2273300
2021-03-05,208.229996,212.600006,206.389999,211.979996,1704700
2021-03-08,212.270004,219.300003,211.759995,213.580002,3426600
2021-03-09,217.289993,219.130005,213.860001,214.039993,2276700
2021-03-10,217.300003,217.720001,211.559998,214.289993,1938600
2021-03-11,214.710007,217.679993,214.309998,215.149994,1625500
2021-03-12,214.339996,214.899994,211.259995,214.330002,1162600
2021-03-15,213.710007,219.850006,213.479996,219.649994,1577700
2021-03-16,220.630005,220.630005,216.720001,218.990005,1367500
2021-03-17,217.160004,217.880005,214.149994,217.080002,1195500
2021-03-18,214.130005,216.250000,212.649994,213.360001,1620400
2021-03-19,214.440002,216.929993,213.279999,216.110001,2098600
2021-03-22,215.839996,220.330002,215.250000,218.820007,1934300
2021-03-23,219.830002,219.850006,212.110001,213.589996,1620700
2021-03-24,213.610001,214.509995,209.410004,211.539993,1522000
2021-03-25,213.160004,213.600006,209.710007,212.360001,2292300
2021-03-26,212.500000,214.960007,209.220001,214.639999,2848400
2021-03-29,213.929993,218.460007,212.210007,216.710007,1531500
2021-03-30,214.750000,215.500000,212.369995,212.990005,1272500
2021-03-31,213.380005,216.059998,212.869995,214.889999,1523300
2021-04-01,215.889999,216.020004,212.300003,213.039993,2071400
2021-04-05,214.380005,215.610001,213.179993,215.320007,2050000
2021-04-06,215.500000,216.460007,213.149994,215.300003,1926000
2021-04-07,215.710007,218.470001,211.699997,212.720001,1515400
2021-04-08,214.179993,216.050003,209.949997,210.279999,2259400
2021-04-09,210.500000,213.820007,209.529999,213.350006,1533600
2021-04-12,212.679993,214.449997,211.210007,213.600006,1468000
2021-04-13,214.610001,218.699997,214.460007,215.940002,1628700
2021-04-14,216.160004,220.250000,216.160004,217.130005,1564700
2021-04-15,218.520004,222.350006,218.000000,221.100006,1686500
2021-04-16,222.339996,222.779999,219.240005,219.389999,1917500
2021-04-19,220.860001,222.589996,218.149994,219.179993,1510900
2021-04-20,218.839996,222.000000,218.149994,220.160004,1370500
2021-04-21,220.789993,221.479996,217.820007,219.759995,1173400
2021-04-22,217.110001,218.929993,214.000000,215.979996,1777600
2021-04-23,217.070007,218.809998,215.770004,217.899994,1205100
2021-04-26,217.740005,218.279999,214.460007,216.970001,1303400
2021-04-27,217.100006,218.149994,215.000000,215.529999,1223900
2021-04-28,215.679993,215.720001,212.809998,213.479996,1426800
2021-04-29,213.600006,213.800003,210.270004,211.860001,1656000
2021-04-30,213.339996,221.410004,213.000000,218.199997,2592700
2021-05-03,217.270004,219.690002,216.699997,217.949997,1367000
2021-05-04,217.539993,217.539993,211.759995,214.850006,1772600
2021-05-05,214.850006,215.839996,213.240005,213.869995,1254800
2021-05-06,212.250000,213.580002,211.059998,213.160004,1184100
2021-05-07,214.360001,216.770004,213.809998,215.009995,1232000
2021-05-10,215.630005,216.279999,212.750000,212.899994,1269700
2021-05-11,211.800003,214.020004,211.389999,213.000000,1330200
2021-05-12,212.059998,215.669998,211.740005,212.679993,1198000
2021-05-13,212.690002,215.020004,212.330002,214.350006,1077100
2021-05-14,215.100006,218.179993,213.289993,217.089996,1428200
2021-05-17,215.619995,217.649994,214.800003,216.350006,933000
2021-05-18,216.899994,218.059998,214.380005,214.649994,1336900
2021-05-19,213.199997,214.179993,211.000000,214.050003,1117400
2021-05-20,213.929993,218.970001,213.399994,216.610001,1417500
2021-05-21,217.289993,218.419998,213.000000,213.429993,1618800
2021-05-24,215.020004,215.699997,210.990005,211.220001,1505300
2021-05-25,211.410004,212.059998,207.479996,208.759995,1707200
2021-05-26,209.630005,209.630005,206.139999,206.800003,1485000
2021-05-27,207.039993,207.440002,204.619995,207.309998,2194900
2021-05-28,208.779999,211.779999,208.300003,208.630005,1724900
2021-06-01,209.490005,210.199997,207.199997,209.669998,1808700
2021-06-02,210.000000,212.210007,208.449997,210.380005,1559000
2021-06-03,209.039993,211.479996,208.500000,211.149994,1447600
2021-06-04,211.679993,212.979996,209.389999,209.929993,1601800
2021-06-07,210.580002,211.570007,208.619995,209.160004,2258900
2021-06-08,210.699997,213.169998,209.130005,211.130005,1917200
2021-06-09,212.000000,215.470001,211.550003,213.559998,1599900
2021-06-10,213.820007,217.259995,211.279999,216.770004,2623200
2021-06-11,194.039993,200.050003,192.880005,193.020004,13725100
2021-06-14,195.660004,196.320007,192.630005,194.800003,3399200
2021-06-15,195.910004,196.000000,188.009995,188.970001,4608900
2021-06-16,189.570007,192.550003,187.199997,187.490005,2796400
2021-06-17,187.490005,189.169998,185.639999,188.360001,4314200
2021-06-18,188.520004,188.839996,185.880005,187.850006,3517900
2021-06-21,188.110001,190.850006,187.479996,187.699997,2027200
2021-06-22,188.130005,188.940002,185.330002,188.869995,1879500
2021-06-23,188.190002,189.779999,187.089996,187.520004,1930600
2021-06-24,188.600006,193.279999,188.289993,191.940002,2482100
2021-06-25,192.000000,194.779999,191.020004,194.339996,5671600
2021-06-28,197.000000,198.729996,194.419998,197.820007,2803900
2021-06-29,197.339996,198.800003,196.570007,196.779999,2645900
2021-06-30,196.820007,202.220001,196.210007,201.630005,2572900
2021-07-01,201.259995,202.429993,199.860001,202.210007,2551800
2021-07-02,203.190002,203.240005,200.309998,200.539993,1402300
2021-07-06,201.470001,201.899994,199.970001,200.050003,1947300
2021-07-07,199.789993,200.440002,197.210007,198.990005,2308500
2021-07-08,197.399994,198.990005,196.300003,197.740005,1806700
2021-07-09,197.550003,198.710007,196.429993,198.160004,948300
2021-07-12,198.000000,198.460007,197.199997,198.339996,2074900
2021-07-13,198.160004,200.440002,197.360001,198.330002,1685900
2021-07-14,197.509995,199.020004,195.750000,197.889999,1655000
2021-07-15,196.789993,200.160004,195.850006,200.089996,2452800
2021-07-16,200.600006,204.460007,199.259995,202.279999,3066500
2021-07-19,202.160004,204.259995,198.330002,199.240005,1897500
2021-07-20,195.000000,196.990005,193.880005,196.550003,3487800
2021-07-21,196.080002,197.210007,194.449997,196.270004,1382600
2021-07-22,195.399994,196.570007,195.000000,196.020004,1295100
2021-07-23,196.720001,203.520004,195.500000,200.500000,2887400
2021-07-26,199.429993,202.410004,198.259995,198.929993,4010700
2021-07-27,199.850006,203.100006,198.660004,202.850006,1822500
2021-07-28,202.850006,204.880005,201.050003,202.240005,1258500
2021-07-29,202.729996,202.940002,198.830002,200.380005,1397000
2021-07-30,201.539993,203.460007,197.309998,201.580002,2132900
2021-08-02,200.649994,201.270004,197.449997,198.320007,2809600
2021-08-03,198.589996,200.710007,198.029999,200.050003,2060100
2021-08-04,200.000000,202.000000,199.110001,199.589996,2612200
2021-08-05,200.259995,203.130005,199.729996,202.990005,1975500
2021-08-06,202.990005,204.000000,200.529999,200.669998,1542200
2021-08-09,201.380005,201.539993,198.630005,200.399994,2314400
2021-08-10,200.500000,200.660004,195.339996,196.460007,2891700
2021-08-11,196.820007,199.279999,194.529999,195.250000,4204300
2021-08-12,195.720001,196.350006,193.880005,194.809998,3580200
2021-08-13,195.000000,195.710007,193.699997,194.360001,3231900
2021-08-16,194.669998,194.949997,189.610001,190.970001,3548900
2021-08-17,189.470001,198.589996,188.839996,198.440002,2082200
2021-08-18,198.720001,198.720001,194.679993,194.770004,1120200
2021-08-19,194.300003,197.919998,194.300003,195.039993,1140900
2021-08-20,195.600006,198.610001,194.300003,195.850006,974700
2021-08-23,197.270004,200.500000,196.139999,198.399994,1125800
2021-08-24,198.820007,200.160004,196.679993,199.729996,880100
2021-08-25,199.589996,202.169998,198.089996,201.330002,1192700
2021-08-26,200.940002,202.740005,197.910004,198.250000,1134700
2021-08-27,198.149994,202.770004,195.850006,199.919998,1290000
2021-08-30,199.300003,201.559998,198.699997,199.490005,1119600
2021-08-31,200.210007,200.350006,198.149994,200.289993,1889700
2021-09-01,200.619995,202.550003,196.350006,197.139999,1450700
2021-09-02,198.059998,199.800003,196.600006,199.220001,1240100
2021-09-03,198.500000,199.179993,196.660004,198.050003,985400
2021-09-07,196.199997,197.050003,192.000000,192.199997,1714000
2021-09-08,191.809998,193.399994,191.059998,191.369995,940300
2021-09-09,189.419998,190.199997,188.050003,188.089996,1449900
2021-09-10,188.169998,190.149994,186.149994,188.570007,1375500
2021-09-13,190.070007,193.250000,189.610001,190.720001,972700
2021-09-14,190.860001,191.750000,188.210007,188.410004,960700
2021-09-15,188.470001,190.600006,188.419998,188.860001,1599100
2021-09-16,188.850006,189.539993,185.440002,187.100006,1548200
2021-09-17,186.240005,188.539993,184.779999,188.300003,2214200
2021-09-20,186.889999,188.889999,185.070007,185.669998,1874400
2021-09-21,186.169998,187.490005,185.110001,185.800003,913500
2021-09-22,186.119995,186.440002,182.600006,184.270004,1376000
2021-09-23,184.619995,186.500000,184.500000,185.089996,1076300
2021-09-24,185.300003,185.300003,181.979996,183.610001,1159800
2021-09-27,183.199997,184.050003,181.449997,183.410004,1469900
2021-09-28,182.399994,183.320007,180.020004,181.600006,1589100
2021-09-29,182.169998,184.250000,181.960007,182.220001,1100800
2021-09-30,182.479996,184.210007,181.369995,181.389999,1322100
2021-10-01,180.160004,181.149994,178.350006,180.350006,1355800
2021-10-04,179.000000,181.000000,177.039993,177.399994,1647900
2021-10-05,177.500000,179.399994,176.919998,177.009995,1802600
2021-10-06,177.009995,182.580002,176.360001,180.910004,1723000
2021-10-07,180.910004,182.000000,179.720001,180.020004,1287300
2021-10-08,180.270004,181.020004,178.580002,178.940002,1157800
2021-10-11,179.229996,181.020004,178.210007,179.580002,1533000
2021-10-12,181.509995,181.509995,179.309998,180.210007,1425000
2021-10-13,180.220001,182.500000,180.220001,181.339996,1088900
2021-10-14,182.139999,184.190002,181.330002,181.899994,1913400
2021-10-15,182.479996,183.149994,181.000000,181.770004,1409200
2021-10-18,182.500000,182.699997,177.710007,180.800003,2335900
2021-10-19,182.059998,185.600006,181.110001,185.410004,2011200
2021-10-20,185.990005,187.880005,185.080002,185.490005,1623500
2021-10-21,185.539993,187.199997,184.339996,187.089996,1629100
2021-10-22,186.770004,187.149994,182.880005,183.520004,1945200
2021-10-25,183.520004,186.139999,182.509995,184.990005,982600
2021-10-26,185.020004,186.580002,183.949997,184.070007,1003400
2021-10-27,184.389999,184.960007,180.399994,180.940002,1217100
2021-10-28,181.190002,183.830002,181.009995,182.000000,1356700
2021-10-29,181.929993,185.910004,180.669998,184.929993,1567900
2021-11-01,184.179993,186.740005,183.410004,185.399994,1172700
2021-11-02,185.660004,185.660004,180.710007,181.399994,2317300
2021-11-03,187.500000,190.750000,184.100006,189.070007,3917500
2021-11-04,189.100006,194.410004,188.300003,194.210007,3469200
2021-11-05,193.759995,195.229996,191.479996,192.850006,2231700
2021-11-08,192.990005,194.460007,190.639999,192.229996,1345700
2021-11-09,192.229996,193.410004,190.309998,191.089996,1727500
2021-11-10,191.009995,192.610001,187.509995,187.910004,1340200
2021-11-11,188.000000,188.149994,185.100006,185.869995,1146200
2021-11-12,187.009995,187.789993,186.029999,187.289993,940200
2021-11-15,187.289993,187.919998,186.110001,186.860001,1003200
2021-11-16,186.449997,188.869995,185.580002,188.330002,1372000
2021-11-17,188.630005,198.529999,187.119995,188.250000,2691200
2021-11-18,188.250000,189.479996,184.889999,185.410004,1594400
2021-11-19,184.820007,185.220001,181.020004,182.880005,1587700
2021-11-22,182.649994,183.649994,180.149994,181.500000,1173700
2021-11-23,181.050003,187.070007,179.960007,186.850006,2159400
2021-11-24,187.259995,188.330002,184.710007,186.240005,3086800
2021-11-26,187.330002,189.800003,182.660004,183.589996,1127400
2021-11-29,187.449997,192.360001,185.460007,190.110001,2802000
2021-11-30,189.500000,192.619995,186.259995,186.940002,3988600
2021-12-01,195.589996,205.850006,194.100006,205.000000,7044400
2021-12-02,201.820007,208.160004,201.509995,204.449997,3378100
2021-12-03,205.779999,206.429993,202.000000,203.809998,2870200
2021-12-06,203.729996,206.880005,203.039993,205.059998,1964800
2021-12-07,205.539993,205.729996,203.130005,205.220001,1949300
2021-12-08,205.710007,206.880005,203.729996,206.610001,1296500
2021-12-09,207.960007,209.000000,205.850006,208.410004,1734000
2021-12-10,206.699997,208.419998,204.110001,208.059998,1371300
2021-12-13,208.490005,208.869995,205.139999,208.149994,1677700
2021-12-14,208.279999,209.990005,206.899994,209.240005,1370100
2021-12-15,209.050003,211.529999,206.979996,211.130005,1500200
2021-12-16,212.050003,214.229996,211.110001,212.610001,1964600
2021-12-17,211.529999,218.320007,210.350006,214.539993,4586500
2021-12-20,215.919998,216.389999,213.250000,215.410004,1631600
2021-12-21,216.250000,218.809998,215.660004,218.600006,1860400
2021-12-22,218.600006,223.100006,218.270004,222.770004,1436300
2021-12-23,222.770004,224.399994,221.449997,223.449997,1210100
2021-12-27,223.339996,224.199997,220.520004,222.339996,2073400
2021-12-28,222.419998,223.130005,220.240005,221.929993,1066900
2021-12-29,221.929993,223.949997,221.220001,223.320007,726200
2021-12-30,222.800003,224.490005,222.160004,222.449997,961500
2021-12-31,222.630005,223.500000,219.039993,219.600006,1142000
2022-01-03,218.380005,222.589996,214.660004,222.529999,1382100
2022-01-04,220.729996,222.699997,219.110001,221.860001,1384900
2022-01-05,222.199997,224.889999,220.690002,221.419998,1685700
2022-01-06,221.820007,223.990005,221.009995,221.649994,1592900
2022-01-07,220.779999,223.979996,220.000000,221.850006,1277400
2022-01-10,222.910004,225.869995,219.100006,223.960007,1844500
2022-01-11,224.199997,226.910004,222.139999,226.149994,1458900
2022-01-12,225.089996,227.190002,223.679993,226.139999,1225000
2022-01-13,225.229996,228.119995,225.169998,226.580002,1750400
2022-01-14,227.000000,234.580002,226.589996,234.059998,2178400
2022-01-18,231.429993,232.490005,228.740005,231.070007,2016400
2022-01-19,231.399994,232.660004,230.410004,230.839996,1649300
2022-01-20,233.470001,234.410004,228.199997,228.610001,2013100
2022-01-21,228.130005,231.110001,227.259995,228.080002,2214700
2022-01-24,225.130005,229.949997,221.690002,229.679993,2818900
2022-01-25,226.089996,229.630005,223.660004,227.110001,1956300
2022-01-26,226.619995,229.809998,225.009995,226.580002,1998900
2022-01-27,228.990005,233.690002,226.889999,228.220001,2237000
2022-01-28,227.289993,243.300003,227.179993,243.020004,3164300
2022-01-31,240.869995,244.410004,239.160004,243.050003,2829000
2022-02-01,242.389999,245.770004,241.509995,245.660004,2777100
2022-02-02,243.580002,254.929993,241.000000,253.570007,3679900
2022-02-03,250.160004,250.160004,243.539993,243.750000,2519800
2022-02-04,241.270004,244.630005,238.479996,241.960007,1822400
2022-02-07,243.320007,244.809998,241.220001,243.259995,1202900
2022-02-08,242.360001,243.000000,239.229996,240.940002,1135700
2022-02-09,242.520004,245.610001,241.509995,244.240005,1069900
2022-02-10,238.389999,241.009995,234.460007,235.889999,1809500
2022-02-11,236.550003,237.339996,233.169998,233.889999,1524400
2022-02-14,233.750000,234.000000,229.259995,231.229996,1578100
2022-02-15,231.880005,233.869995,231.289993,233.410004,1583900
2022-02-16,233.460007,236.889999,231.559998,235.770004,1402200
2022-02-17,233.850006,234.949997,230.059998,232.770004,1665300
2022-02-18,233.000000,233.889999,228.550003,229.610001,1271200
2022-02-22,229.210007,233.029999,229.210007,230.210007,1692000
2022-02-23,231.699997,233.529999,229.199997,230.690002,1817100
2022-02-24,227.699997,230.429993,225.279999,230.250000,1475200
2022-02-25,229.460007,233.160004,228.039993,230.300003,1428100
2022-02-28,227.990005,230.130005,226.179993,230.020004,2035700
2022-03-01,229.190002,232.520004,228.500000,230.690002,1253800
2022-03-02,230.179993,235.500000,229.399994,234.110001,1029100
2022-03-03,234.929993,238.529999,234.740005,235.690002,1140600
2022-03-04,233.399994,243.179993,233.039993,238.660004,2032800
2022-03-07,237.460007,242.500000,235.050003,235.539993,1548000
2022-03-08,233.089996,242.899994,232.970001,238.710007,1460200
2022-03-09,240.509995,240.740005,236.350006,239.240005,1378900
2022-03-10,235.160004,242.910004,234.539993,241.929993,1080100
2022-03-11,242.600006,247.490005,236.130005,236.479996,1374000
